,Category,Segment,Year,Num_of_Units
131,Two wheelers,Total Two wheelers,2007-08,8026681.0
132,Grand Total,Grand Total,2007-08,10853930.0
133,Passenger Vehicles (PVs),Passenger Cars,2008-09,1516967.0
134,Passenger Vehicles (PVs),Multi-Utility Vehicles,2008-09,321626.0
135,Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),2008-09,1838593.0
136,Commercial Vehicles (CVs) M & HCVs,Passenger Carriers,2008-09,40995.0
137,Commercial Vehicles (CVs) M & HCVs,Goods Carriers,2008-09,151288.0
138,Commercial Vehicles (CVs) M & HCVs,Total M & HCVs,2008-09,192283.0
139,LCVs,Passenger Carriers,2008-09,28635.0
140,LCVs,Goods Carriers,2008-09,195952.0
141,LCVs,Total LCVs,2008-09,224587.0
142,Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),2008-09,416870.0
143,Three Wheelers,Passenger Carriers,2008-09,417434.0
144,Three Wheelers,Goods Carriers,2008-09,79586.0
145,Three Wheelers,Total Three Wheelers,2008-09,497020.0
146,Two wheelers,Scooter/Scooterettee,2008-09,1161276.0
147,Two wheelers,Motorcycles/Step-Throughs,2008-09,6798118.0
148,Two wheelers,Mopeds,2008-09,436219.0
149,Two wheelers,Electric Two Wheelers,2008-09,24179.0
150,Two wheelers,Total Two wheelers,2008-09,8419792.0
151,Grand Total,Grand Total,2008-09,11172275.0
152,Passenger Vehicles (PVs),Passenger Cars,2009-10,1932620.0
153,Passenger Vehicles (PVs),Multi-Utility Vehicles,2009-10,424791.0
154,Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),2009-10,2357411.0
155,Commercial Vehicles (CVs) M & HCVs,Passenger Carriers,2009-10,46026.0
156,Commercial Vehicles (CVs) M & HCVs,Goods Carriers,2009-10,204145.0
157,Commercial Vehicles (CVs) M & HCVs,Total M & HCVs,2009-10,250133.0
158,LCVs,Passenger Carriers,2009-10,34751.0
159,LCVs,Goods Carriers,2009-10,281686.0
160,LCVs,Total LCVs,2009-10,317423.0
161,Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),2009-10,567556.0
162,Three Wheelers,Passenger Carriers,2009-10,530203.0
163,Three Wheelers,Goods Carriers,2009-10,88890.0
164,Three Wheelers,Total Three Wheelers,2009-10,619194.0
165,Two wheelers,Scooter/Scooterettee,2009-10,1494409.0
166,Two wheelers,Motorcycles/Step-Throughs,2009-10,8444857.0
167,Two wheelers,Mopeds,2009-10,571070.0
168,Two wheelers,Electric Two Wheelers,2009-10,2567.0
169,Two wheelers,Total Two wheelers,2009-10,10512903.0
170,Grand Total,Grand Total,2009-10,14057064.0
171,Passenger Vehicles (PVs),Passenger Cars,2010-11,2453113.0
172,Passenger Vehicles (PVs),Multi-Utility Vehicles,2010-11,534183.0
173,Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),2010-11,2987296.0
174,Commercial Vehicles (CVs) M & HCVs,Passenger Carriers,2010-11,
175,Commercial Vehicles (CVs) M & HCVs,Goods Carriers,2010-11,
176,Commercial Vehicles (CVs) M & HCVs,Total M & HCVs,2010-11,344542.0
177,LCVs,Passenger Carriers,2010-11,
178,LCVs,Goods Carriers,2010-11,
179,LCVs,Total LCVs,2010-11,408193.0
180,Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),2010-11,752735.0
181,Three Wheelers,Passenger Carriers,2010-11,
182,Three Wheelers,Goods Carriers,2010-11,
183,Three Wheelers,Total Three Wheelers,2010-11,799553.0
184,Two wheelers,Scooter/Scooterettee,2010-11,2144765.0
185,Two wheelers,Motorcycles/Step-Throughs,2010-11,10527111.0
186,Two wheelers,Mopeds,2010-11,704575.0
187,Two wheelers,Electric Two Wheelers,2010-11,
188,Two wheelers,Total Two wheelers,2010-11,13376451.0
189,Grand Total,Grand Total,2010-11,17916035.0
190,Passenger Vehicles (PVs),Passenger Cars,2011-12,2775124.0
191,Passenger Vehicles (PVs),Multi-Utility Vehicles,2011-12,370945.0
192,Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),2011-12,3146069.0
193,Commercial Vehicles (CVs) M & HCVs,Passenger Carriers,2011-12,
194,Commercial Vehicles (CVs) M & HCVs,Goods Carriers,2011-12,
195,Commercial Vehicles (CVs) M & HCVs,Total M & HCVs,2011-12,384801.0
196,LCVs,Passenger Carriers,2011-12,
197,LCVs,Goods Carriers,2011-12,
198,LCVs,Total LCVs,2011-12,544335.0
199,Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),2011-12,929136.0
200,Three Wheelers,Passenger Carriers,2011-12,
201,Three Wheelers,Goods Carriers,2011-12,
202,Three Wheelers,Total Three Wheelers,2011-12,879289.0
203,Two wheelers,Scooter/Scooterettee,2011-12,2659340.0
204,Two wheelers,Motorcycles/Step-Throughs,2011-12,11982669.0
205,Two wheelers,Mopeds,2011-12,785523.0
206,Two wheelers,Electric Two Wheelers,2011-12,
207,Two wheelers,Total Two wheelers,2011-12,15427532.0
208,Grand Total,Grand Total,2011-12,20382026.0
209,Passenger Vehicles (PVs),Passenger Cars,2012-13,2668633.0
210,Passenger Vehicles (PVs),Multi-Utility Vehicles,2012-13,564928.0
211,Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),2012-13,3233561.0
212,Commercial Vehicles (CVs) M & HCVs,Passenger Carriers,2012-13,
213,Commercial Vehicles (CVs) M & HCVs,Goods Carriers,2012-13,
214,Commercial Vehicles (CVs) M & HCVs,Total M & HCVs,2012-13,278560.0
215,LCVs,Passenger Carriers,2012-13,
216,LCVs,Goods Carriers,2012-13,
217,LCVs,Total LCVs,2012-13,553184.0
218,Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),2012-13,831744.0
219,Three Wheelers,Passenger Carriers,2012-13,
220,Three Wheelers,Goods Carriers,2012-13,
221,Three Wheelers,Total Three Wheelers,2012-13,839742.0
222,Two wheelers,Scooter/Scooterettee,2012-13,3025014.0
223,Two wheelers,Motorcycles/Step-Throughs,2012-13,11904212.0
224,Two wheelers,Mopeds,2012-13,791954.0
225,Two wheelers,Electric Two Wheelers,2012-13,
226,Two wheelers,Total Two wheelers,2012-13,15721180.0
227,Grand Total,Grand Total,2012-13,20626227.0
